age,gender,residence,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,location,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,TARGET_PREDICTION_PERCENT
11,M,H,0,0,4,0,1,3,5,R,4,5,0,0,0,1,14,4,73,73,67,71
14,F,D,0,1,1,1,0,4,2,U,5,0,1,0,0,0,1,2,96,87,80,87
21,M,H,1,1,6,0,1,5,3,U,3,4,1,1,1,0,15,2,81,78,93,84
24,F,H,1,0,7,0,0,4,2,U,2,1,1,1,1,1,15,4,77,71,88,78
12,F,H,0,0,5,1,0,3,1,R,3,3,1,0,0,1,13,3,66,78,85,76
20,M,H,1,0,9,1,0,2,3,U,2,1,1,0,1,0,14,4,90,75,76,80
23,M,D,1,1,3,1,1,5,2,R,4,3,1,1,0,1,4,5,90,94,82,88
26,M,H,0,1,3,0,1,2,2,R,3,0,0,0,0,1,10,3,88,84,93,88
31,F,H,1,1,1,1,1,2,5,R,1,0,0,1,1,0,6,5,86,87,70,81
17,M,H,1,0,3,0,0,1,1,U,2,5,1,1,1,0,11,2,87,84,75,82
11,F,H,0,1,7,0,0,5,2,U,4,2,0,0,0,1,15,1,66,66,89,76
18,M,D,1,1,2,0,1,2,2,R,1,1,1,0,1,0,11,3,85,91,71,82
14,M,D,0,0,7,0,1,4,2,U,0,1,1,1,0,0,6,2,95,72,84,76
14,F,D,0,1,7,0,1,1,1,U,4,1,1,0,0,0,5,3,74,73,81,76
14,F,D,1,1,5,1,0,5,2,U,2,3,1,0,0,0,12,2,84,73,72,76
27,F,D,1,1,2,1,0,5,5,U,2,1,0,1,0,1,4,2,77,74,80,77
31,F,H,0,1,3,1,0,3,5,R,3,4,1,1,1,1,7,3,74,74,85,77
26,M,H,0,1,4,1,0,3,1,U,5,3,0,0,0,0,3,3,73,85,72,76
8,F,D,0,0,1,0,1,5,3,U,3,0,1,1,0,1,12,4,74,79,84,79
10,F,H,0,0,4,1,1,2,3,R,5,5,0,0,0,0,15,1,95,93,73,87
17,M,H,0,0,6,0,1,5,5,R,3,0,0,0,1,1,1,2,79,75,86,80
30,F,H,1,1,6,1,1,4,4,R,4,0,1,0,1,0,13,4,80,88,69,79
7,M,D,0,1,8,1,1,3,3,U,5,4,1,0,0,1,11,3,68,90,82,80
29,M,H,0,1,5,0,1,5,2,U,5,4,1,1,1,0,3,4,71,81,89,80
18,M,D,1,1,4,1,0,5,1,U,3,5,0,1,1,0,13,1,90,90,83,87
19,F,D,1,1,7,1,0,2,4,R,5,4,1,1,1,1,9,5,75,66,95,78
19,M,H,1,1,9,0,1,4,1,R,5,2,1,0,1,1,9,5,82,83,93,86
32,F,D,0,1,5,0,0,4,4,U,3,2,0,0,0,1,2,4,80,84,88,84
8,F,H,0,0,5,0,1,4,3,R,4,2,1,1,0,1,5,4,87,74,79,80
34,F,D,1,0,7,1,1,1,3,R,2,1,1,1,0,1,3,4,82,73,86,80
33,F,D,0,1,8,1,1,5,3,R,3,5,1,0,1,1,11,5,88,67,85,80
8,M,D,0,1,8,0,1,1,4,U,4,0,1,0,0,1,9,1,83,87,69,79
34,M,D,1,0,6,0,0,2,4,R,3,2,0,1,1,0,2,4,93,72,72,79
18,F,H,1,1,9,0,0,2,3,R,4,5,0,1,1,1,9,5,97,95,92,94
24,F,D,1,0,5,0,0,1,1,R,2,0,0,1,1,0,6,3,91,74,89,84
32,F,D,0,0,4,1,0,4,2,R,1,2,0,1,0,0,11,3,86,90,94,84
17,M,H,1,0,9,1,0,1,3,R,1,0,0,0,0,1,11,5,80,70,68,72
9,M,H,0,0,3,0,0,4,3,R,2,4,0,0,1,0,12,5,87,87,90,88
15,F,D,0,0,5,1,0,4,2,R,1,2,1,0,1,0,9,2,88,87,76,83
23,M,H,1,1,7,0,1,1,3,R,3,1,0,1,0,1,7,5,68,69,92,76
32,M,H,1,0,4,1,0,3,2,R,5,0,0,0,0,0,8,5,81,71,78,76
30,F,D,1,1,1,1,1,3,3,R,0,2,0,0,1,0,7,4,66,85,72,74
15,F,H,0,1,3,1,0,1,2,R,1,3,0,0,1,1,5,3,89,95,78,87
29,M,H,0,0,1,1,1,1,2,R,2,3,1,0,0,1,11,4,67,88,94,83
26,M,D,0,0,3,0,0,4,4,R,1,4,0,0,1,1,10,1,77,71,81,76
22,M,H,1,0,6,0,0,3,4,U,2,0,1,0,0,0,6,3,90,96,87,91
19,M,D,1,0,9,0,1,3,3,U,3,1,0,1,0,0,3,5,90,80,83,84
23,M,D,1,0,4,0,1,2,2,U,5,4,1,1,1,1,10,5,96,65,79,80
29,M,D,0,0,4,0,1,1,5,R,3,1,0,1,1,0,8,4,69,88,68,75
16,M,D,1,0,8,0,1,4,2,R,2,1,1,0,0,0,11,4,84,88,82,84
25,M,D,1,0,7,1,1,4,1,R,5,1,0,1,1,0,11,5,71,78,76,75
16,F,H,0,1,7,0,1,3,5,U,3,3,1,1,0,1,4,1,86,96,93,91
27,F,H,1,1,5,1,1,3,4,R,2,3,1,1,1,0,15,4,80,68,68,72
6,F,D,0,1,7,0,0,3,4,R,4,3,0,1,0,1,5,3,76,79,76,77
32,M,D,0,0,2,0,0,5,1,R,5,4,1,0,1,1,4,3,93,74,89,85
13,M,D,0,1,3,1,0,2,4,U,0,3,1,0,1,0,13,3,75,85,74,78
10,M,D,0,0,3,0,1,5,1,U,1,2,1,1,0,0,10,2,71,75,95,80
24,M,D,0,0,9,1,1,2,3,R,4,4,0,0,0,1,11,4,70,73,93,78
21,M,H,1,1,6,0,1,3,2,U,3,5,0,1,0,1,15,2,87,96,74,85
19,F,H,1,1,1,1,1,5,3,R,0,0,1,0,0,1,3,3,73,96,84,84
7,F,H,0,0,1,0,1,5,5,R,3,1,1,0,0,0,5,4,88,81,94,87
